,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,references,comments,organization,creation_date,last_update
18,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.002,Command and Scripting Interpreter: AppleScript,12.1,enterprise,[],,,04/06/2023,04/06/2023
19,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1059.003,Command and Scripting Interpreter: Windows Command Shell,12.1,enterprise,[],,,04/06/2023,04/06/2023
20,veris,1.3.7,action.hacking,action.hacking.variety.OS commanding,OS commanding. Child of 'Exploit vuln'.,related-to,T1059.003,Command and Scripting Interpreter: Windows Command Shell,12.1,enterprise,[],,,04/06/2023,04/06/2023
21,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.003,Command and Scripting Interpreter: Windows Command Shell,12.1,enterprise,[],,,04/06/2023,04/06/2023
22,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1059.004,Command and Scripting Interpreter: Unix Shell,12.1,enterprise,[],,,04/06/2023,04/06/2023
23,veris,1.3.7,action.hacking,action.hacking.variety.OS commanding,OS commanding. Child of 'Exploit vuln'.,related-to,T1059.004,Command and Scripting Interpreter: Unix Shell,12.1,enterprise,[],,,04/06/2023,04/06/2023
24,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.004,Command and Scripting Interpreter: Unix Shell,12.1,enterprise,[],,,04/06/2023,04/06/2023
25,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1059.005,Command and Scripting Interpreter: Visual Basic,12.1,enterprise,[],,,04/06/2023,04/06/2023
26,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.005,Command and Scripting Interpreter: Visual Basic,12.1,enterprise,[],,,04/06/2023,04/06/2023
27,veris,1.3.7,action.malware,action.malware.vector.Email attachment,Email via user-executed attachment. Child of 'Email',related-to,T1059.005,Command and Scripting Interpreter: Visual Basic,12.1,enterprise,[],,,04/06/2023,04/06/2023
28,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1059.006,Command and Scripting Interpreter: Python,12.1,enterprise,[],,,04/06/2023,04/06/2023
29,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.006,Command and Scripting Interpreter: Python,12.1,enterprise,[],,,04/06/2023,04/06/2023
30,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1059.007,Command and Scripting Interpreter: JavaScript,12.1,enterprise,[],,,04/06/2023,04/06/2023
31,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.007,Command and Scripting Interpreter: JavaScript,12.1,enterprise,[],,,04/06/2023,04/06/2023
32,veris,1.3.7,action.malware,action.malware.vector.Email attachment,Email via user-executed attachment. Child of 'Email',related-to,T1059.007,Command and Scripting Interpreter: JavaScript,12.1,enterprise,[],,,04/06/2023,04/06/2023
33,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1059.008,Command and Scripting Interpreter: Network Device CLI,12.1,enterprise,[],,,04/06/2023,04/06/2023
34,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.008,Command and Scripting Interpreter: Network Device CLI,12.1,enterprise,[],,,04/06/2023,04/06/2023
35,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1072,Software Deployment Tools,12.1,enterprise,[],,,04/06/2023,04/06/2023
36,veris,1.3.7,action.malware,action.malware.variety.Adminware,"System or network utilities (e.g., PsTools, Netcat)",related-to,T1072,Software Deployment Tools,12.1,enterprise,[],,,04/06/2023,04/06/2023
37,veris,1.3.7,action.malware,action.malware.vector.Software update,Included in automated software update,related-to,T1072,Software Deployment Tools,12.1,enterprise,[],,,04/06/2023,04/06/2023
38,veris,1.3.7,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1072,Software Deployment Tools,12.1,enterprise,[],,,04/06/2023,04/06/2023
39,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1106,Native API,12.1,enterprise,[],,,04/06/2023,04/06/2023
40,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1112,Modify Registry,12.1,enterprise,[],,,04/06/2023,04/06/2023
41,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1127,Trusted Developer Utilities Proxy Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
42,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,Unknown,related-to,T1127,Trusted Developer Utilities Proxy Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
43,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1127.001,Tursted Developer Utilities Proxy Execution: MSBuild,12.1,enterprise,[],,,04/06/2023,04/06/2023
44,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,Unknown,related-to,T1127.001,Tursted Developer Utilities Proxy Execution: MSBuild,12.1,enterprise,[],,,04/06/2023,04/06/2023
45,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1129,Shared Modules,12.1,enterprise,[],,,04/06/2023,04/06/2023
46,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1137,Office Application Startup,12.1,enterprise,[],,,04/06/2023,04/06/2023
47,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1137.001,Office Application Startup: Office Template Macros,12.1,enterprise,[],,,04/06/2023,04/06/2023
48,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1137.002,Office Application Startup: Office Test,12.1,enterprise,[],,,04/06/2023,04/06/2023
49,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1137.003,Office Application Startup: Outlook Forms,12.1,enterprise,[],,,04/06/2023,04/06/2023
50,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1137.004,Office Application Startup: Outlook Home Page,12.1,enterprise,[],,,04/06/2023,04/06/2023
51,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1137.005,Office Application Startup: Outlook Rules,12.1,enterprise,[],,,04/06/2023,04/06/2023
52,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1187,Forced Authentication,12.1,enterprise,[],,,04/06/2023,04/06/2023
53,veris,1.3.7,action.hacking,action.hacking.variety.MitM,Man-in-the-middle attack. Child of 'Exploit vuln'.,related-to,T1187,Forced Authentication,12.1,enterprise,[],,,04/06/2023,04/06/2023
54,veris,1.3.7,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1187,Forced Authentication,12.1,enterprise,[],,,04/06/2023,04/06/2023
55,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1202,Indirect Command Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
56,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1216,Signed Script Proxy Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
57,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1216.001,Signed Script Proxy Execution: PubPrn,12.1,enterprise,[],,,04/06/2023,04/06/2023
58,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218,Signed Binary Proxy Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
59,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.001,Signed Binary Proxy Execution: Compiled HTML File,12.1,enterprise,[],,,04/06/2023,04/06/2023
60,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.002,Signed Binary Proxy Execution: Control Panel,12.1,enterprise,[],,,04/06/2023,04/06/2023
61,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.003,Signed Binary Proxy Execution: CMSTP,12.1,enterprise,[],,,04/06/2023,04/06/2023
62,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.004,Signed Binary Proxy Execution: InstallUtil,12.1,enterprise,[],,,04/06/2023,04/06/2023
63,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.005,Signed Binary Proxy Execution: Mshta,12.1,enterprise,[],,,04/06/2023,04/06/2023
64,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.007,Signed Binary Proxy Execution: Msiexec,12.1,enterprise,[],,,04/06/2023,04/06/2023
65,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.008,Signed Binary Proxy Execution: Odbcconf,12.1,enterprise,[],,,04/06/2023,04/06/2023
66,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.009,Signed Binary Proxy Execution: Regsvcs/Regasm,12.1,enterprise,[],,,04/06/2023,04/06/2023
67,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.010,Signed Binary Proxy Execution: Regsvr32,12.1,enterprise,[],,,04/06/2023,04/06/2023
68,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.011,Signed Binary Proxy Execution: Rundll32,12.1,enterprise,[],,,04/06/2023,04/06/2023
69,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.012,Signed Binary Proxy Execution: Verclsid,12.1,enterprise,[],,,04/06/2023,04/06/2023
70,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.013,System Binary Proxy Execution: Mavinject,12.1,enterprise,[],,,04/06/2023,04/06/2023
71,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.014,System Binary Proxy Execution: MMC,12.1,enterprise,[],,,04/06/2023,04/06/2023
72,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1220,XSL Script Processing,12.1,enterprise,[],,,04/06/2023,04/06/2023
73,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1505.001,Server Software Component: SQL Stored Procedures,12.1,enterprise,[],,,04/06/2023,04/06/2023
74,veris,1.3.7,action.malware,action.malware.variety.Backdoor,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1505.001,Server Software Component: SQL Stored Procedures,12.1,enterprise,[],,,04/06/2023,04/06/2023
75,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1505.001,Server Software Component: SQL Stored Procedures,12.1,enterprise,[],,,04/06/2023,04/06/2023
76,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1505.002,Server Software Component: Transport Agent,12.1,enterprise,[],,,04/06/2023,04/06/2023
77,veris,1.3.7,action.malware,action.malware.variety.Backdoor,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1505.002,Server Software Component: Transport Agent,12.1,enterprise,[],,,04/06/2023,04/06/2023
78,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1505.002,Server Software Component: Transport Agent,12.1,enterprise,[],,,04/06/2023,04/06/2023
79,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1529,System Shutdown/Reboot,12.1,enterprise,[],,,04/06/2023,04/06/2023
80,veris,1.3.7,attribute.availability,attribute.availability.variety.Interruption,Interruption,related-to,T1529,System Shutdown/Reboot,12.1,enterprise,[],,,04/06/2023,04/06/2023
81,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1543,Create or Modify System Process,12.1,enterprise,[],,,04/06/2023,04/06/2023
82,veris,1.3.7,action.hacking,action.hacking.variety.Backdoor,Hacking action that creates a backdoor for use.,related-to,T1543,Create or Modify System Process,12.1,enterprise,[],,,04/06/2023,04/06/2023
83,veris,1.3.7,action.hacking,action.hacking.vector.Backdoor,Hacking actions taken through a backdoor.  C2 is only used by malware.,related-to,T1543,Create or Modify System Process,12.1,enterprise,[],,,04/06/2023,04/06/2023
84,veris,1.3.7,action.malware,action.malware.variety.Backdoor,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1543,Create or Modify System Process,12.1,enterprise,[],,,04/06/2023,04/06/2023
85,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1543,Create or Modify System Process,12.1,enterprise,[],,,04/06/2023,04/06/2023
86,veris,1.3.7,action.malware,action.malware.variety.Rootkit,Rootkit (maintain local privileges and stealth),related-to,T1543,Create or Modify System Process,12.1,enterprise,[],,,04/06/2023,04/06/2023
87,veris,1.3.7,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543,Create or Modify System Process,12.1,enterprise,[],,,04/06/2023,04/06/2023
88,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1543.001,Create or Modify System Process: Launch Agent,12.1,enterprise,[],,,04/06/2023,04/06/2023
89,veris,1.3.7,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543.001,Create or Modify System Process: Launch Agent,12.1,enterprise,[],,,04/06/2023,04/06/2023
90,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1543.002,Create or Modify System Process: Systemd Service,12.1,enterprise,[],,,04/06/2023,04/06/2023
91,veris,1.3.7,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543.002,Create or Modify System Process: Systemd Service,12.1,enterprise,[],,,04/06/2023,04/06/2023
92,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1543.003,Create or Modify System Process: Windows Service,12.1,enterprise,[],,,04/06/2023,04/06/2023
93,veris,1.3.7,action.malware,action.malware.variety.RAT,Remote Access Trojan.  Parent of 'Backdoor' and 'Trojan',related-to,T1543.003,Create or Modify System Process: Windows Service,12.1,enterprise,[],,,04/06/2023,04/06/2023
94,veris,1.3.7,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543.003,Create or Modify System Process: Windows Service,12.1,enterprise,[],,,04/06/2023,04/06/2023
95,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1543.004,Create or Modify System Process: Launch Daemon,12.1,enterprise,[],,,04/06/2023,04/06/2023
96,veris,1.3.7,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543.004,Create or Modify System Process: Launch Daemon,12.1,enterprise,[],,,04/06/2023,04/06/2023
97,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1547,Boot or Logon Autostart Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
98,veris,1.3.7,action.hacking,action.hacking.variety.Backdoor,Hacking action that creates a backdoor for use.,related-to,T1547,Boot or Logon Autostart Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
99,veris,1.3.7,action.hacking,action.hacking.vector.Backdoor,Hacking actions taken through a backdoor.  C2 is only used by malware.,related-to,T1547,Boot or Logon Autostart Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
100,veris,1.3.7,action.malware,action.malware.variety.Backdoor,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1547,Boot or Logon Autostart Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
101,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1547,Boot or Logon Autostart Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
102,veris,1.3.7,attribute.integrity,attribute.integrity.variety.Modify configuration,Modified configuration or services,related-to,T1547,Boot or Logon Autostart Execution,12.1,enterprise,[],,,04/06/2023,04/06/2023
103,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1548,Abuse Elevation Control Mechanism,12.1,enterprise,[],,,04/06/2023,04/06/2023
104,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,12.1,enterprise,[],,,04/06/2023,04/06/2023
105,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,12.1,enterprise,[],,,04/06/2023,04/06/2023
106,veris,1.3.7,action.hacking,action.hacking.variety.Exploit misconfig,Exploit a misconfiguration (vs vuln or weakness),related-to,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,12.1,enterprise,[],,,04/06/2023,04/06/2023
107,veris,1.3.7,action.malware,action.malware.variety.Exploit misconfig,Exploit a misconfiguration (vs vuln or weakness),related-to,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,12.1,enterprise,[],,,04/06/2023,04/06/2023
108,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,12.1,enterprise,[],,,04/06/2023,04/06/2023
109,veris,1.3.7,action.hacking,action.hacking.variety.Exploit misconfig,Exploit a misconfiguration (vs vuln or weakness),related-to,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,12.1,enterprise,[],,,04/06/2023,04/06/2023
110,veris,1.3.7,action.malware,action.malware.variety.Client-side attack,"Client-side or browser attack (e.g., redirection, XSS, MitB)",related-to,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,12.1,enterprise,[],,,04/06/2023,04/06/2023
111,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,12.1,enterprise,[],,,04/06/2023,04/06/2023
112,veris,1.3.7,action.hacking,action.hacking.variety.Exploit misconfig,Exploit a misconfiguration (vs vuln or weakness),related-to,T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,12.1,enterprise,[],,,04/06/2023,04/06/2023
113,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1559,Inter-Process Communication,12.1,enterprise,[],,,04/06/2023,04/06/2023
114,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1559.001,Inter-Process Communication: Component Object Model,12.1,enterprise,[],,,04/06/2023,04/06/2023
115,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1559.002,Inter-Process Communication: Dynamic Data Exchange,12.1,enterprise,[],,,04/06/2023,04/06/2023
116,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1563,Remote Service Session Hijacking,12.1,enterprise,[],,,04/06/2023,04/06/2023
117,veris,1.3.7,action.hacking,action.hacking.variety.Hijack,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),related-to,T1563,Remote Service Session Hijacking,12.1,enterprise,[],,,04/06/2023,04/06/2023
118,veris,1.3.7,action.malware,action.malware.vector.Network propagation,Network propagation,related-to,T1563,Remote Service Session Hijacking,12.1,enterprise,[],,,04/06/2023,04/06/2023
119,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1563.001,Remote Service Session Hijacking: SSH Hijacking,12.1,enterprise,[],,,04/06/2023,04/06/2023
120,veris,1.3.7,action.hacking,action.hacking.variety.Hijack,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),related-to,T1563.001,Remote Service Session Hijacking: SSH Hijacking,12.1,enterprise,[],,,04/06/2023,04/06/2023
121,veris,1.3.7,action.malware,action.malware.vector.Network propagation,Network propagation,related-to,T1563.001,Remote Service Session Hijacking: SSH Hijacking,12.1,enterprise,[],,,04/06/2023,04/06/2023
122,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1563.002,Remote Service Session Hijacking: RDP Hijacking,12.1,enterprise,[],,,04/06/2023,04/06/2023
123,veris,1.3.7,action.hacking,action.hacking.variety.Hijack,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),related-to,T1563.002,Remote Service Session Hijacking: RDP Hijacking,12.1,enterprise,[],,,04/06/2023,04/06/2023
124,veris,1.3.7,action.malware,action.malware.vector.Network propagation,Network propagation,related-to,T1563.002,Remote Service Session Hijacking: RDP Hijacking,12.1,enterprise,[],,,04/06/2023,04/06/2023
125,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1564,Hide Artifacts,12.1,enterprise,[],,,04/06/2023,04/06/2023
126,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1564,Hide Artifacts,12.1,enterprise,[],,,04/06/2023,04/06/2023
127,veris,1.3.7,action.malware,action.malware.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1564,Hide Artifacts,12.1,enterprise,[],,,04/06/2023,04/06/2023
128,veris,1.3.7,action.social,action.social.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1564,Hide Artifacts,12.1,enterprise,[],,,04/06/2023,04/06/2023
129,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1564.001,Hide Artifacts: Hidden Files and Directories,12.1,enterprise,[],,,04/06/2023,04/06/2023
130,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1564.001,Hide Artifacts: Hidden Files and Directories,12.1,enterprise,[],,,04/06/2023,04/06/2023
131,veris,1.3.7,action.malware,action.malware.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1564.001,Hide Artifacts: Hidden Files and Directories,12.1,enterprise,[],,,04/06/2023,04/06/2023
132,veris,1.3.7,action.social,action.social.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1564.001,Hide Artifacts: Hidden Files and Directories,12.1,enterprise,[],,,04/06/2023,04/06/2023
133,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1564.002,Hide Artifacts: Hidden Users,12.1,enterprise,[],,,04/06/2023,04/06/2023
134,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1564.002,Hide Artifacts: Hidden Users,12.1,enterprise,[],,,04/06/2023,04/06/2023
